"Rec No","Itemid","Itemname","Currentstock","Storestock","Price","Cost","Forecourtstockgroupstockcode","Forecourtstockgroupdescription"
           2,            1,"HX8 HELIX SYNTHETIC 5W-40 1LT",       5,       0,"      1,025.00",        670.00,,
           4,            2,"HX8 HELIX SYNTHETIC 5W-40 4LT",       7,       0,"      3,895.00","      2,610.00",,
           5,            3,"HX7 HELIX 10W-50 1LTR",      11,       0,        885.00,        615.00,,
           6,            4,"HX7 HELIX 10W-50 4LTR",       2,       0,"      3,245.00","      2,270.00",,
           7,            5,"HX5 HELIX 15W-40 1/2LTR",      14,       0,        320.00,        195.00,,
           8,            6,,      38,      36,        415.00,        370.00,,
           9,            7,"HX5 HELIX 15W-40 4LTR",       0,       0,"      2,280.00",          0.00,,
          10,            8,"HX5 HELIX 15W-40 5LTR",       0,       0,"      2,850.00","      1,740.00",,
          11,            9,"HX3 HELIX SAE-40 1/2LTR",       6,       0,        250.00,        160.00,,
          12,           10,"HX3 HELIX SAE-40 1LTR",       9,       0,        470.00,        305.00,,
          13,           11,"HX3 HELIX SAE-40 4LTR",       0,       0,"      1,800.00","      1,125.00",,
          14,           12,"ULTRA ECT HELIX 5W-30 1LTR",       0,       0,"      1,995.00","      1,040.00",,
          15,           13,"ULTRA ECT HELIX 5W-30 5 LTR",       4,       0,"      9,280.00",          0.00,,
          16,           14,"ULTRA HELIX 5W-40 1LTR",       8,       0,"      1,190.00",        790.00,,
          17,           15,"ULTRA HELIX 5W-40 4LTR",       0,       0,"      4,330.00","      3,045.00",,
          18,           16,"SX2 ADVANCE 2T 1/2LTR",       3,       0,        265.00,        145.00,,
          19,           17,"AX3 ADVANCE SAE-40 4T 1/2LTR",       0,       0,          0.00,          0.00,,
          20,           18,"AX3 ADVANCE SAE-40 4T 1LTR",       6,       0,        470.00,        285.00,,
          21,           19,"AX5 ADVANCE 20W-50 4T 1LTR",      15,      48,        500.00,        325.00,,
          22,           20,"46 TELLUS S 2 M 5 LTR",       2,       0,"      2,570.00","      1,600.00",,
          23,           21,"46 TELLUS S 2 M 20 LTR",       0,       0,"      9,855.00","      6,040.00",,
          24,           22,"R3 RIMULA TURBO 15W-40 1LTR",       0,       0,        565.00,        350.00,,
          25,           23,"R3 RIMULA TURBO 15W-40 5LTR",       9,       6,"      2,700.00","      1,685.00",,
          26,           24,"R3 RIMULA TURBO 15W-40 20LTR",       1,       0,"     10,560.00","      6,650.00",,
          29,           27,"R2 RIMULA SAE-40 20LTR",       0,       0,"      9,300.00","      5,650.00",,
          30,           28,"R4 RIMULA X 15W-40 1LTR",      34,      24,        695.00,        415.00,,
          31,           29,"R4 RIMULA X 15W-40 5LTR",      13,      39,"      3,445.00","      1,980.00",,
          32,           30,"R4 RIMULA X 15W-40 20LTR",       1,       0,"     12,415.00","      7,765.00",,
          33,           31,"R1 RIMULA SAE-40 1LTR",       1,       0,        500.00,        300.00,,
