"Rec No","Daily Record Id","Sup Id","Date","No Of Days Covered","Serial No","Product1","Product2","Product3","Product4","Product5","Fuel Sales Qty1","Fuel Sales Qty2","Fuel Sales Qty3","Fuel Sales Qty4","Fuel Sales Qty5"
       24838,            1,            0," 5/01/2020",   1,       1,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,368.23",          0.00,"      1,284.67",         64.03,          0.00
       24839,            2,            0," 5/01/2020",   1,       2,"UNLEADED","KEROSENE","DIESEL","V-POWER",,        793.55,          0.00,        242.80,         49.65,          0.00
       24840,            3,            0," 5/02/2020",   1,       3,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,284.07",          0.00,        586.29,        236.86,          0.00
       24841,            4,            0," 5/02/2020",   1,       4,"UNLEADED","KEROSENE","DIESEL","V-POWER",,        946.50,          0.00,        143.29,         54.89,          0.00
       24842,            5,            0," 5/03/2020",   1,       5,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,571.67",          0.00,        261.68,         89.63,          0.00
       24843,            6,            0," 5/03/2020",   1,       6,"UNLEADED","KEROSENE","DIESEL","V-POWER",,        928.06,          0.00,        148.06,         72.18,          0.00
       24844,            7,            0," 5/04/2020",   1,       7,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,052.36",          0.00,        461.45,        158.63,          0.00
       24845,            8,            0," 5/04/2020",   1,       8,"UNLEADED","KEROSENE","DIESEL","V-POWER",,        974.19,          0.00,        225.15,         15.36,          0.00
       24846,            9,            0," 5/05/2020",   1,       9,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,237.58",          0.00,"      1,099.72",         77.74,          0.00
       24847,           10,            0," 5/05/2020",   1,      10,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,109.17",          0.00,        152.30,        110.88,          0.00
       24848,           11,            0," 5/06/2020",   1,      11,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,237.97",          0.00,        657.44,        423.20,          0.00
       24849,           12,            0," 5/06/2020",   1,      12,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,050.06",          0.00,         66.66,        109.79,          0.00
       24850,           13,            0," 5/07/2020",   1,      13,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,979.96",          0.00,        809.20,         57.34,          0.00
       24851,           14,            0," 5/07/2020",   1,      14,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,310.37",          0.00,        704.37,         38.65,          0.00
       24852,           15,            0," 5/08/2020",   1,      15,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,001.19",          0.00,"      1,205.67",         50.87,          0.00
       24853,           16,            0," 5/08/2020",   1,      16,"UNLEADED","KEROSENE","DIESEL","V-POWER",,        839.02,          0.00,        133.94,         47.91,          0.00
       24854,           17,            0," 5/09/2020",   1,      17,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,108.36",          0.00,"      1,540.25",        292.12,          0.00
       24855,           18,            0," 5/09/2020",   1,      18,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,057.00",          0.00,         68.72,         93.23,          0.00
       24856,           19,            0," 5/10/2020",   1,      19,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,588.22",          0.00,        199.48,         80.92,          0.00
       24857,           20,            0," 5/10/2020",   1,      20,"UNLEADED","KEROSENE","DIESEL","V-POWER",,        598.11,          0.00,         50.24,         23.97,          0.00
       24858,           21,            0," 5/11/2020",   1,      21,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,998.54",          0.00,        746.87,        143.35,          0.00
       24859,           22,            0," 5/11/2020",   1,      22,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,014.42",          0.00,        542.76,         25.30,          0.00
       24860,           23,            0," 5/12/2020",   1,      23,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,555.17",          0.00,        880.12,         61.54,          0.00
       24861,           24,            0," 5/12/2020",   1,      24,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,089.45",          0.00,        269.27,         50.98,          0.00
       24862,           25,            0," 5/13/2020",   1,      25,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,378.54",          0.00,        574.57,        171.93,          0.00
       24863,           26,            0," 5/13/2020",   1,      26,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,344.49",          0.00,        234.89,         66.10,          0.00
       24864,           27,            0," 5/14/2020",   1,      27,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,166.95",          0.00,        649.78,        116.82,          0.00
       24865,           28,            0," 5/14/2020",   1,      28,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,109.47",          0.00,        213.02,         51.66,          0.00
       24866,           29,            0," 5/15/2020",   1,      29,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,572.22",          0.00,        957.10,        153.82,          0.00
       24867,           30,            0," 5/15/2020",   1,      30,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,713.66",          0.00,        157.76,         43.54,          0.00
       24868,           31,            0," 5/16/2020",   1,      31,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,861.36",          0.00,        357.02,        110.11,          0.00
       24869,           32,            0," 5/16/2020",   1,      32,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,070.68",          0.00,        193.01,         94.11,          0.00
       24870,           33,            0," 5/17/2020",   1,      33,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,778.19",          0.00,        615.36,        196.65,          0.00
       24871,           34,            0," 5/17/2020",   1,      34,"UNLEADED","KEROSENE","DIESEL","V-POWER",,        782.90,          0.00,        145.59,         28.53,          0.00
       24872,           35,            0," 5/18/2020",   1,      35,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,626.23",          0.00,        705.15,        285.22,          0.00
       24873,           36,            0," 5/18/2020",   1,      36,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,143.42",          0.00,         57.23,         65.07,          0.00
       24874,           37,            0," 5/19/2020",   1,      37,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,204.38",          0.00,        995.41,        207.41,          0.00
       24875,           38,            0," 5/19/2020",   1,      38,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,360.99",          0.00,        166.02,        110.84,          0.00
       24876,           39,            0," 5/20/2020",   1,      39,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,687.57",          0.00,        703.76,        260.34,          0.00
       24877,           40,            0," 5/20/2020",   1,      40,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,301.95",          0.00,         90.04,         52.76,          0.00
       24878,           41,            0," 5/21/2020",   1,      41,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,436.23",          0.00,"      1,214.46",        287.35,          0.00
       24879,           42,            0," 5/21/2020",   1,      42,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,323.21",          0.00,        250.25,        138.45,          0.00
       24880,           43,            0," 5/22/2020",   1,      43,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,223.83",          0.00,        719.99,        206.77,          0.00
       24881,           44,            0," 5/22/2020",   1,      44,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,273.24",          0.00,        411.19,         71.28,          0.00
       24882,           45,            0," 5/23/2020",   1,      45,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,370.15",          0.00,        468.28,        247.46,          0.00
       24883,           46,            0," 5/23/2020",   1,      46,"UNLEADED","KEROSENE","DIESEL","V-POWER",,        977.66,          0.00,        122.38,         43.99,          0.00
       24884,           47,            0," 5/24/2020",   1,      47,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,761.66",          0.00,        480.00,        109.73,          0.00
       24885,           48,            0," 5/24/2020",   1,      48,"UNLEADED","KEROSENE","DIESEL","V-POWER",,        792.75,          0.00,        289.31,         46.56,          0.00
       24886,           49,            0," 5/25/2020",   1,      49,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,594.55",          0.00,        567.65,        148.25,          0.00
       24887,           50,            0," 5/25/2020",   1,      50,"UNLEADED","KEROSENE","DIESEL","V-POWER",,        758.94,          0.00,        193.29,         39.60,          0.00
       24888,           51,            0," 5/26/2020",   1,      51,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,829.61",          0.00,        814.34,        179.59,          0.00
       24889,           52,            0," 5/26/2020",   1,      52,"UNLEADED","KEROSENE","DIESEL","V-POWER",,        962.19,          0.00,        261.11,         50.27,          0.00
       24890,           53,            0," 5/27/2020",   1,      53,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,603.89",          0.00,        731.15,        154.11,          0.00
       24891,           54,            0," 5/27/2020",   1,      54,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,205.25",          0.00,        371.49,        106.46,          0.00
       24892,           55,            0," 5/28/2020",   1,      55,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,012.45",          0.00,"      1,014.48",        201.98,          0.00
       24893,           56,            0," 5/28/2020",   1,      56,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,255.85",          0.00,        263.10,         70.50,          0.00
       24894,           57,            0," 5/29/2020",   1,      57,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,371.72",          0.00,        400.83,         90.56,          0.00
       24895,           58,            0," 5/29/2020",   1,      58,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,253.03",          0.00,        248.73,        170.64,          0.00
       24896,           59,            0," 5/30/2020",   1,      59,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,447.33",          0.00,        785.23,        186.32,          0.00
       24897,           60,            0," 5/30/2020",   1,      60,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,201.17",          0.00,        216.12,         89.23,          0.00
       24898,           61,            0," 5/31/2020",   1,      61,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,073.24",          0.00,"      1,030.98",        129.63,          0.00
       24899,           62,            0," 5/31/2020",   1,      62,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,005.17",          0.00,        265.95,         60.61,          0.00
       24900,           63,            0," 6/01/2020",   1,      63,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,676.41",          0.00,        381.90,        134.86,          0.00
       24901,           64,            0," 6/01/2020",   1,      64,"UNLEADED","KEROSENE","DIESEL","V-POWER",,        958.77,          0.00,        254.01,         54.60,          0.00
       24902,           65,            0," 6/02/2020",   1,      65,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,002.26",          0.00,        864.15,        148.73,          0.00
       24903,           66,            0," 6/02/2020",   1,      66,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,233.04",          0.00,        144.15,         66.10,          0.00
       24904,           67,            0," 6/03/2020",   1,      67,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,809.68",          0.00,        865.17,        179.40,          0.00
       24905,           68,            0," 6/03/2020",   1,      68,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,310.55",          0.00,        123.63,         97.31,          0.00
       24906,           69,            0," 6/04/2020",   1,      69,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      2,791.15",          0.00,"      2,150.23",        237.39,          0.00
       24907,           70,            0," 6/04/2020",   1,      70,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,238.08",          0.00,        315.56,        123.78,          0.00
       24908,           71,            0," 6/05/2020",   1,      71,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,193.42",          0.00,        541.39,        245.48,          0.00
       24909,           72,            0," 6/05/2020",   1,      72,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,216.35",          0.00,        263.71,         85.41,          0.00
       24910,           73,            0," 6/06/2020",   1,      73,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      3,449.87",          0.00,        428.59,        287.29,          0.00
       24911,           74,            0," 6/06/2020",   1,      74,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,010.29",          0.00,         96.80,         71.57,          0.00
       24912,           75,            0," 6/07/2020",   1,      75,"UNLEADED","KEROSENE","DIESEL","V-POWER",,"      1,966.93",          0.00,        523.39,        208.59,          0.00
